2,37,99
0,20,26
0,64,64
2,15,32
1,32,33
0,35,1
1,75,71
1,86,74
2,59,44
0,23,26
1,96,45
0,9,98
2,35,78
0,25,36
1,70,40
1,99,80
1,88,47
2,19,87
2,10,71
1,87,79
0,53,20
1,37,18
0,59,33
2,46,52
1,59,26
0,50,57
1,62,78
1,66,25
1,66,68
0,48,51
2,55,26
0,27,45
0,13,11
0,40,32
2,61,43
1,75,58
1,24,18
2,73,91
2,79,59
0,28,31
1,29,14
1,18,25
2,28,49
0,94,34
2,78,90
0,62,72
2,21,33
1,36,33
2,28,13
1,54,24
2,37,52
0,19,87
2,83,49
0,1,69
2,1,4
1,19,4
0,31,54
1,53,51
0,50,74
2,37,83
2,44,31
1,37,1
1,58,57
0,98,40
0,73,88
1,24,40
1,27,76
0,21,39
1,26,47
0,84,34
0,29,89
2,51,96
0,31,17
2,19,50
2,12,83
2,82,64
2,80,74
0,37,17
2,13,6
1,60,58
1,24,89
1,60,86
2,95,56
0,28,53
0,82,49
1,70,31
1,0,62
0,59,36
0,69,51
1,35,88
2,46,22
0,41,78
0,66,53
0,71,83
0,36,28
1,55,84
2,49,66
1,81,97
2,94,55
0,92,65
2,2,79
2,90,76
1,96,80
1,40,36
0,80,47
0,33,23
2,62,72
2,11,53
1,34,31
2,67,90
0,32,43
2,38,27
1,65,74
1,9,30
0,0,49
1,60,32
0,99,39
2,36,79
0,34,65
1,76,49
1,90,75
2,92,89
1,63,81
2,21,98
2,35,29
2,7,74
0,25,62
2,47,40
1,53,64
0,84,60
2,47,67
0,80,78
0,18,42
1,34,82
1,43,22
2,20,54
1,0,71
1,27,83
2,78,61
2,42,71
0,88,62
2,10,29
1,48,82
2,66,65
0,56,31
2,39,29
1,24,39
0,44,63
1,1,17
0,61,38
2,52,58
0,44,53
1,22,83
2,16,79
1,4,38
1,65,66
1,47,34
1,8,11
1,31,87
1,59,74
1,70,81
2,79,46
0,98,27
0,73,37
2,63,41
0,11,27
0,36,41
0,34,39
2,41,25
1,84,81
0,39,56
2,98,94
1,47,91
0,73,27
1,42,63
2,83,89
0,28,74
0,16,40
2,96,63
0,56,88
0,41,42
2,68,74
1,83,94
2,0,62
0,56,66
0,33,56
1,72,81
2,75,36
1,81,65
0,84,48
1,21,8
0,59,90
1,82,40
2,19,42
1,24,31
2,91,48
2,77,36
2,66,32
1,49,51
0,39,60
0,44,25
1,97,38
0,99,14
0,16,54
1,41,27
1,57,74
0,15,7
0,74,89
2,71,73
0,33,88
2,0,16
1,95,65
1,39,15
0,72,51
2,23,74
2,7,5
0,40,55
1,86,65
1,25,92
1,40,20
2,10,47
0,69,48
0,23,73
2,96,97
1,37,0
2,40,70
0,25,74
1,72,46
1,58,82
1,2,39
2,23,13
2,37,31
1,34,19
1,96,42
2,7,21
2,14,25
2,42,62
0,70,91
0,45,60
2,57,82
1,6,9
1,41,58
1,93,64
2,80,40
1,41,1
1,52,67
1,67,40
1,16,5
2,70,96
0,49,39
1,17,61
2,86,39
2,83,84
0,5,19
1,19,9
2,33,89
2,87,96
1,82,79
0,39,64
0,91,79
1,36,43
2,29,38
0,6,46
0,65,59
0,30,42
2,94,96
2,39,31
0,66,84
1,94,98
0,20,44
2,70,41
0,41,93
1,40,21
1,67,78
1,52,82
1,28,28
1,40,61
1,74,71
1,78,86
2,84,73
0,60,0
2,55,79
2,78,48
1,64,88
1,91,84
1,71,81
1,79,42
2,71,85
2,49,83
0,38,50
1,22,98
0,84,48
2,96,81
2,76,61
0,35,98
2,37,47
2,67,90
1,1,82
1,72,68
1,86,89
2,19,73
2,68,97
0,3,32
0,4,72
0,3,51
1,65,47
2,9,40
1,31,29
0,32,79
1,19,40
1,30,86
2,79,96
2,86,57
2,78,80
1,46,90
0,2,39
0,2,12
1,58,79
1,39,51
2,24,53
0,81,62
2,20,1
0,61,76
1,11,37
2,50,32
0,49,43
0,92,48
2,28,15
1,7,21
2,45,28
1,46,75
2,27,14
0,69,45
0,71,70
0,6,52
2,0,49
1,4,76
1,52,46
0,13,80
0,65,61
0,8,23
2,14,79
2,91,38
2,1,50
2,29,33
1,28,43
2,71,77
0,62,37
1,32,20
1,53,77
0,48,60
1,68,88
2,20,51
1,51,94
2,31,32
1,55,77
2,65,96
2,24,14
2,53,90
1,60,45
2,88,78
2,47,47
2,23,9
1,49,30
2,77,36
0,76,35
2,60,61
2,29,39
1,90,49
2,32,1
0,52,85
1,84,35
2,27,27
0,58,97
0,19,4
1,7,1
0,79,0
2,63,44
0,4,69
2,50,23
1,25,28
2,78,80
2,41,75
1,36,65
2,71,65
1,31,19
2,67,0
1,19,88
0,27,30
1,11,11
2,80,74
2,23,46
0,67,24
1,31,14
0,91,79
2,73,50
2,5,39
1,2,51
1,57,29
2,37,55
1,47,51
0,6,80
1,60,91
1,57,33
0,39,34
0,38,99
0,91,65
1,15,39
2,51,73
2,37,60
0,39,35
1,95,92
2,52,62
2,29,14
0,68,88
0,37,51
0,98,81
1,27,66
0,63,50
0,45,64
2,51,28
1,78,63
0,62,65
0,34,53
0,25,35
1,7,28
0,58,41
0,11,25
0,80,73
0,55,0
2,87,66
1,65,46
2,90,87
1,86,93
2,97,82
0,87,56
1,22,51
2,15,54
0,23,55
0,98,81
0,4,70
1,67,42
0,73,30
2,34,15
2,79,51
1,53,35
0,78,35
2,34,30
0,80,82
0,69,82
1,34,32
0,5,20
0,46,91
1,6,0
2,0,72
1,7,47
2,65,68
1,79,39
0,54,0
1,43,49
0,24,46
1,57,44
2,18,38
0,60,50
1,66,61
1,73,34
0,55,92
0,8,50
1,6,2
1,71,81
1,48,43
0,42,50
2,24,26
0,34,46
0,95,76
2,58,42
1,48,93
2,45,43
0,5,22
2,31,42
2,33,24
1,85,60
1,22,10
2,9,25
1,93,93
2,20,81
1,2,11
2,90,54
1,16,65
2,0,70
0,35,47
2,72,79
